subject,course,period,workload
Programação Linear,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Programação Multi-Core,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Projeto e Análise de Algoritmos II,"Ciência da Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Redes Convergentes,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Redes Definidas por Software,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Sistemas de Apoio à Decisão,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Arquitetura de Computadores,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Banco de Dados,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Computação Gráfica,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Tópicos em Sistemas de Informação I,"Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas de Informação II,"Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas de Informação III,"Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Comércio Eletrônico,"Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Computação de Alto Desempenho,Engenharia de Computação(OPT),Integral,68 Horas
Simulação de Sistemas,Engenharia de Computação(OPT),Integral,68 Horas
Sistemas Embarcados,Engenharia de Computação(OPT),Integral,68 Horas
Teoria das Filas,Engenharia de Computação(OPT),Integral,68 Horas
Tópicos em Engenharia de Computação I,Engenharia de Computação(OPT),Integral,68 Horas
Tópicos em Engenharia de Computação II,Engenharia de Computação(OPT),Integral,68 Horas
Tópicos em Engenharia de Computação III,Engenharia de Computação(OPT),Integral,68 Horas
Tópicos em Empreendedorismo,Engenharia de Software(OPT),Integral,68 Horas
Disciplina de Intercâmbio I,Engenharia de Software(OPT),Integral,68 Horas
Disciplina de Intercâmbio II,Engenharia de Software(OPT),Integral,68 Horas
Disciplina de Intercâmbio III,Engenharia de Software(OPT),Integral,68 Horas
